astid,name,price,vol24,chg1h,chg24h,chg7d
USDT,Tether,1.000215253835432,19371604294.47486,0.0032984901312106494,-1.207937601871937,0.006189195422545525
BTC,Bitcoin,48521.47131529211,5990148576.428975,0.16644306698721884,1.9709587881651045,6.534577803386712
BUSD,Binance USD,1.0002338458628288,4159240301.830527,0.05672394788765245,-1.3650256103372238,0.012420138083120652
ETH,Ethereum,3478.105910249215,4057510653.2498784,0.023204164718023078,0.8774654253633647,5.143422541798392
SOL,Solana,163.5737835300053,2951712721.4689045,1.5970289252189036,12.962438544820476,-13.548142596702629
AVAX,Avalanche,71.21743356102337,1341259519.6410048,2.326463568255147,9.55053730709157,40.29611695586651
GALA,,0.1304812493827912,1176410234.9822931,-2.896453126876397,40.671422155862736,135.67769703467667
DOT,Polkadot,35.020682254004605,836846766.8564308,-0.8022172959819205,2.1065988876397665,15.156967770886142
ADA,Cardano,2.3972065976230157,808887093.5287441,0.09612316458970085,0.17599043056231817,-11.61052962056821
ATOM,Cosmos,38.96559302072165,675766819.3875726,-0.3628803765032116,13.473050793992275,38.06018785230383
BNB,Binance Coin,415.8571457665794,661640322.6300721,-0.06009922425797799,0.21251033662438656,1.0166201880372947
FIL,Filecoin,84.98488734952836,592456063.7340032,-0.07874600547156728,2.1314427522181325,1.5934098944269088
USDC,USD Coin,0.9997582965735122,467559236.3554934,-0.023176038398072984,-1.2291178062626922,0.04590894854474264
LUNA,Terra,35.635678154753755,438506301.54840076,1.020212249764274,0.48331648825145557,-10.08997211112062
EOS,EOS,5.344612967358058,437458307.69768083,-1.8637376405629242,-2.4866591271577176,12.959912495692071
XRP,Ripple,1.0844136681875685,406434459.75976765,-0.029713792588418834,0.3238358618606181,-0.879934976798262
MATIC,Matic Network,1.3793705713341902,401222486.5621045,-0.38331704296479957,1.9145260313387555,2.2130806901951754
SUSHI,SushiSwap,12.951051347334863,382722665.5876038,-0.3553439968814793,-0.644112522575768,21.702350614134293
LINK,Chainlink,28.788447719345633,374461821.37271935,-0.10572209400515954,0.6354803252517706,5.932892406027707
ALGO,Algorand,2.0327605841224403,371092910.788445,-0.7112141753918136,1.2286313038696313,-1.7304149969023366
SHIB,,7.98293391218413e-06,368552686.266638,0.6869951324923427,-7.658370015221169,14.969562519261286
DYDX,,15.896452766264412,353247864.80016965,-3.8410450816467647,-6.9543633592007685,45.705720461410024
DOGE,Dogecoin,0.24264032339847194,329429951.3730476,0.023024462231799953,-1.4092036436365485,-0.942537789904059
FOR,The Force Protocol,0.11278822517119946,314451804.5089851,0.17232348781029017,-8.414296540269513,79.95087436764032
FTM,Fantom,1.3495772354581141,306937971.5523573,-1.448971831442864,3.466823220663103,-17.186540275502015
TRX,Tron,0.10688146839982843,301840353.0146153,-0.47195803510974965,-0.5085865782755706,12.572683897783076
FTT,FTX Token,65.09642719603866,298582229.5393988,0.0163466765526886,1.0858691828956084,-12.68719431036455
XTZ,Trezos,6.6320984826443015,280800548.6022649,1.31856157069689,4.6229515642262635,2.569841835061646
LTC,Litecoin,182.1860431805425,252066713.54177317,-0.21817482362593274,-0.3390375713997318,-0.8689430033966044
XBT,,48384.59872348646,212843494.52138793,-0.030275126031053163,1.727089247537677,6.226460327273702
COTI,Coti,0.44318082229288325,196004977.16824782,1.2353216464814358,15.45357779786127,41.91047362271036
ICP,,59.91245903860078,184247719.47213134,0.26131498093359457,5.327882904106184,-0.3321036514125368
CRV,Curve DAO Token,2.8727208765251695,171618078.54701513,-0.5940975083217301,-5.4253275386579,27.54693852601785
NFT,,4.015212263451788e-06,158232799.45611846,0.39845143189314997,-1.577042840025493,4.076545179105136
C98,,4.035967673373209,154411849.60987476,-1.5280938157273134,9.29050831996214,3.714613507602772
CELR,Celer Network,0.1147470107031101,151393968.14596647,-0.4099058771493605,0.11894838124345082,68.83665208418577
SRM,Serum,10.312784539715175,147640072.56800687,-0.2738991718007783,3.6989827838317106,-17.999994321104644
IOTA,MIOTA,1.654433076638643,145791796.98799825,0.11199581843370432,0.107823820333351,8.218460378370548
SWRV,,1.4460207626937167,143939400.31167924,0.7912828661967315,35.517510138766504,14.006387510683316
UST,TerraUSD,0.99939570865659,138700582.23396915,-0.04932954796856129,-0.9745982542262595,-0.1109454446597981
HBAR,Hedera Hashgraph,0.44280438055350074,137168420.60195583,1.1575688771017965,0.6953816514954229,21.658188173693787
ELF,Aelf,0.9473172288172733,134419333.99082693,0.7962357617014261,-5.880140521091846,14.134196859198036
IDEX,,0.4594320020470925,123671853.97287495,0.576234455478423,5.832763308594926,-25.706691234947833
SUN,SUN,0.038725617226687596,122485309.05657926,-0.41492008121769114,-8.733773977718934,20.809511662835416
ONE,Harmony,0.171192235394196,121105368.19642147,0.7382437308747715,6.8522096421006236,-11.242996525832263
FET,Fetch.AI,0.8612287208920149,119649822.56353907,0.22661949935560097,-1.7126923602063606,-3.674749883648603
AAVE,Aave,360.06094663465166,107996922.21576232,-0.6124102235978645,-2.0386552959738955,11.10951333582207
BCH,Bitcoin Cash,630.9987181716755,107145555.94028008,-0.42740293151320796,-0.3112061094242916,-1.777387129881201
NEAR,NEAR Protocol,8.933137958656426,106995668.30607732,-0.2525488201777382,4.804064548228851,-3.036005951959637
BTT,BitTorrent,0.0039595503834298695,103096726.58112076,-0.0938082454437501,-0.45221053553972146,0.45213693691242407
UNI,Uniswap,24.665879447146843,99316871.15979996,0.09793599222457387,-0.6548650624230306,5.9110254444476995
CAKE,PancakeSwap,22.602406771353735,98296266.97244842,-0.023547001930446274,3.2785264510704857,13.422627499469844
EGLD,Elrond,241.54766625387543,94525048.34418353,-0.7835500326754877,-3.6074687953058597,5.692688822702481
ETC,Ethereum Classic,57.573178474496345,94008631.30153675,-0.09061916130737677,-0.275972020205436,0.0031001221395160717
VIDT,,1.0182947897483134,92476761.01388633,-0.10488718127393375,15.55657524994188,-2.8157399625375423
VET,Ve Chain,0.11358636704380491,90646503.86337966,-0.05024522006269233,-1.5399468261864633,-3.0427727618137332
SNX,Synthetix Network Token,13.051973172628495,87382114.07169244,-0.2663071727559368,-0.30892418744378175,19.610098202607777
XLM,Stellar,0.325397687906094,84580500.06869958,0.04856098633553456,0.42043476873950797,-1.325517728559133
THETA,Theta,6.443508013082962,81830112.55037521,-0.055603434845261354,-0.5987105161390732,-2.7786285833428224
REN,Ren,0.9836130940701273,81247672.94306353,-1.5662260116394366,4.6063868976654385,35.82443001341473
MBOX,,6.555135143618491,80661026.42656925,4.473100139307647,8.10783730408207,20.093558598422444
AXS,Axie Infinity,66.64662523574688,76443699.76558152,0.25829926707585454,-0.2684827817244564,-3.8305006412239946
NMR,Numeraire,48.542790668735755,75132149.05412368,-0.39321855415641105,11.489995274748564,3.466412965247905
JST,JUST,0.09115863978581693,67022632.81053698,0.053035125923514656,-0.23976591099439246,12.220362412288766
SLP,,0.08256916611910826,66306222.40603721,-0.12980456999048157,0.15528708163655605,-12.390002289709873
XEC,,0.00023384595620225008,65556258.70599797,0.4284641188298833,-1.1389669523620853,1.5935488104816062
RUNE,THORChain,10.137056396834643,65184095.77881406,-1.182013199677295,2.9860741181177644,13.028728332452113
KAVA,Kava,6.259361915208583,64846622.04266116,0.35717855993562814,-0.061621692268552124,-1.4715478344711619
OMG,OMG Network,8.70091406153932,61353550.10119369,1.5377691657271997,2.330217434444866,-1.8044128777203727
MINA,,5.366070052224098,61065977.81843634,-0.09243051073507379,-1.321049679186279,-3.9315982196813355
KSM,Kusama,410.7478125990523,57628336.87526114,0.164880495878677,2.6378606824953765,4.935590581693933
SXP,Swipe,2.6487496873718652,57544940.08350977,0.33933873595792846,-1.8585025072717796,-4.51314466602342
CHZ,Chiliz,0.3297333880567699,56423758.94400334,0.15283843996960256,-1.1027656025579642,-1.7537279676230457
ALICE,My Neighbor Alice,13.37845427997386,53667579.741456516,-0.7645198952998058,-2.268478376406445,0.08729825611247281
ORN,Orion Protocol,12.147054752623092,53110418.264902234,-1.2153137544391377,8.972779438651514,34.184555438977775
AUDIO,Audius,2.8443229827216023,53032212.670346074,0.6309186441841592,-0.40947395734048503,23.721393718248564
IOST,IOST,0.06971064281194457,50784698.72541246,0.28537160947160634,-0.5539711277862562,-5.8390012701935845
ZEC,Zcash,140.31204953959752,50780441.70637332,0.15708850243674005,1.977807504672885,6.004702795143448
GRT,The Graph,0.8363174499554815,49990689.64542303,-0.02848876059283442,0.4177804391285804,-6.63252751665869
HUSD,HUSD,0.999715742256951,49575198.1850998,-0.030376015064509328,-1.059761459424259,0.08284668127383149
DFA,,1.8380457731348125,48646421.995472744,-0.41938460511082193,-1.5961373822680809,-3.5724769713608544
QNT,,365.06712556524536,48290044.82951171,0.8327176900327504,5.137341210762619,-4.411031048906081
1INCH,1inch,3.214067281035681,45980335.2642656,0.11619081863263384,1.904704234105092,7.679429958447746
POLY,,0.716108960969087,41419678.256633446,-0.16987855376653718,-2.379348886711358,9.70345995379117
XMR,Monero,271.1632281264466,40403393.41600559,0.3442795230490065,2.796590677964924,5.792441981066579
HT,Huobi Token,14.494252289363592,40362546.807071164,-0.16692658722358505,0.9977481344438713,1.3100847287190924
TLM,Alien Worlds,0.21691323038046095,38477263.9589465,1.4194325750878267,2.0073725518108834,1.7946430576199046
CELO,,5.471423819091624,38361361.73688758,-0.6819721449525997,6.087900423445157,9.91386419413902
DAI,Dai,1.0002113850838088,38010625.26128175,-0.006090969073949162,-0.7839129775155353,0.06138174665366589
TUSD,TrueUSD,1.0017641755927371,37268728.238228604,0.33149675117529176,-1.0825738922998143,0.13253357093689255
BADGER,Badger DAO,24.170098195517163,37261345.287369944,-1.859489436345146,17.56739558378934,26.307351160204906
RAY,,12.940166226507985,36907414.71018595,0.7605203142647433,4.73226105693852,-16.538658951609104
OGN,Origin Protocol,1.0817788464690523,35622902.917857066,-1.4003375048710338,-0.3391144810491962,12.70855984408563
NEO,Neo,50.465810503092,35680958.46166486,1.4633253115559748,1.8102356831065487,1.9130728842383007
SKL,SKALE Network,0.41895887364084583,35320311.90437482,-0.2793444025207239,-3.3327684380456004,16.647906975945368
POND,,0.10981322540517005,34550220.92426669,-0.4250563225281433,-1.809141540906961,-14.86862616078057
ROSE,Oasis Network,0.24404043937047723,34077896.6931993,1.4870627733961028,0.5125478756451451,-14.093561406948446
AR,,50.337250909605004,33584802.57306832,0.21731729414293005,-1.9583294780226352,-20.126972596978767
COMP,Compound,404.9157944135938,32842515.162708633,-0.17779531969314574,-0.3999320303573781,0.483380092557834
HOT,Holochain,0.009741642509235107,32824559.854479864,-0.5971871863579997,0.49139809191336437,-2.9517343502433917
