Exchg,asset,price,vol24
Exchg,asset,price,vol24
BINANCE,BTC,48427.04967435345,1741060061.5210145
BINANCE,ETH,3484.2370741845316,1404878250.9144797
BINANCE,SOL,146.25596377236778,1136076093.030679
BINANCE,AVAX,75.06306079147984,931886909.9926591
BINANCE,BUSD,0.9999907758918234,849979974.6204456
BINANCE,ETH,3484.2905628557046,535379111.7279272
BINANCE,GALA,0.11073451534026861,527910664.76527905
BINANCE,DOT,35.05642947036139,473466018.729194
BINANCE,BTC,48426.50637442109,445936727.05727535
BINANCE,ETH,3484.2176843095062,391837500.8465472
BINANCE,BNB,417.16701051379977,354572666.6311616
BINANCE,DYDX,17.12869844439737,338698168.1939798
BINANCE,ADA,2.3995978466447623,317804552.6656446
BINANCE,XRP,1.0846942297825553,313468800.9148194
BINANCE,SHIB,8.33533988405255e-06,306448046.3653163
BINANCE,EOS,5.283715450196959,292227703.701348
BINANCE,FIL,86.67853442714515,287022054.85071564
BINANCE,DOGE,0.2435599314650268,267041346.4433458
BINANCE,TRX,0.10819941196821424,263399471.15597925
BINANCE,FOR,0.11013449087351018,260743312.20710424
BINANCE,SUSHI,12.89052562752698,254474779.67180192
BINANCE,GALA,0.11070390585291005,251755540.80916882
BINANCE,FTM,1.3816063367501858,250212940.49435565
BINANCE,SOL,146.26355439750586,235064895.7487586
BINANCE,ATOM,34.766417644761475,215160757.59170347
BINANCE,MATIC,1.429558292051964,200167207.2244762
BINANCE,LUNA,35.766458422692196,199953110.44050837
BINANCE,LINK,28.89617827830815,195227699.98415542
BINANCE,FTT,64.8726452643658,186075232.1021227
BINANCE,FOR,0.11004391237598561,179184488.84335908
BINANCE,ELF,0.995290584235549,177737550.0581406
BINANCE,AVAX,75.15170679577805,162146972.37561703
BINANCE,SOL,146.27442948617897,155202738.35236645
BINANCE,CELR,0.12530010927082955,146305169.66539347
BINANCE,ALGO,1.9834308769088935,141508032.60410428
BINANCE,USDC,1.0000907799696164,138499135.80607218
BINANCE,AVAX,75.05425819782454,131807342.29233092
BINANCE,ELF,0.995340162510221,130195265.51428008
BINANCE,IOTA,1.6824186027517467,126550877.88540572
BINANCE,AVAX,75.04524736078706,121022560.9145011
