Exchg,symbol,asset,price,vol24,change24
BINANCE,BTC-USDT,BTC,48725.89969106387,1887752591.849996,1.5841063363627945
BINANCE,SOL-USDT,SOL,159.0067774853074,1485798455.620448,10.221128517953698
BINANCE,ETH-USDT,ETH,3519.504343400066,1442351615.1735818,-0.4639593650218969
BINANCE,AVAX-USDT,AVAX,72.74581320190364,952584635.5621786,13.966786777377418
BINANCE,BUSD-USDT,BUSD,0.999961178242402,826455323.3061501,0.01500300060011837
BINANCE,ETH-BUSD,ETH,3519.5085403680396,545655271.0659136,-0.4794152575920355
BINANCE,GALA-USDT,GALA,0.10946622368748893,490693896.4752343,3.650222516807131
BINANCE,DOT-USDT,DOT,34.97539097857694,475518317.48913294,-3.3572810168554943
BINANCE,BTC-BUSD,BTC,48728.32568809375,475159562.7133201,1.5748196445209652
BINANCE,ETH-BTC,ETH,3518.4553423187813,399600038.17548794,-2.031764977146053
BINANCE,BNB-USDT,BNB,417.7546699442607,358628721.89842194,-0.9366848470476615
BINANCE,ADA-USDT,ADA,2.4025268570702245,337438306.0208705,-0.6410256410256531
BINANCE,DYDX-USDT,DYDX,16.97968981045739,325559727.70528775,5.279637896825406
BINANCE,XRP-USDT,XRP,1.0866621474444786,308787270.8855209,-0.4534628068889509
BINANCE,SOL-BUSD,SOL,159.00883485312403,298458438.1557029,10.205142421512228
BINANCE,FIL-USDT,FIL,85.675957743805,292207792.29634523,1.9819069158433593
BINANCE,FOR-USDT,FOR,0.11647130199499232,269821862.97942597,3.8890375524038916
BINANCE,EOS-USDT,EOS,5.3225594991701435,269504277.2383477,0.6524205748865266
BINANCE,FTM-USDT,FTM,1.4034156883298037,260927642.36407205,2.5352524293124827
BINANCE,SHIB-USDT,SHIB,8.135090939548917e-06,257670702.40743572,-8.07909604519775
BINANCE,TRX-USDT,TRX,0.10786620580140677,244955134.33635587,-6.755705394190885
BINANCE,SUSHI-USDT,SUSHI,12.809143189266393,236609700.1061654,-9.432227957293357
BINANCE,DOGE-USDT,DOGE,0.24435273154010798,229137835.0357038,-3.723404255319154
BINANCE,ATOM-USDT,ATOM,35.27039427632334,226699249.43654457,-1.0103845074375708
BINANCE,GALA-BUSD,GALA,0.10943075711191794,223417030.4109684,3.729857819905221
BINANCE,MATIC-USDT,MATIC,1.3915155553020675,205601120.0783343,0.5419075144508716
